date,negative,neutral,positive
2016-07-07T00:00:00Z,Brexit' Briefing by Chan,NA,NA
2016-07-07T00:00:00Z,Italy's Plan for Banks Is Dividing Europe by Eavis,NA,NA
2016-07-07T00:00:00Z,3 More Property Funds Stop Withdrawals After 'Brexit' Vote by Bray,NA,NA
2016-07-07T00:00:00Z,Financial markets show show lingering Brexit worries by Rao and Tejada,NA,NA
2016-07-07T00:00:00Z,NA,Fed Doubts on Economy Preceded 'Brexit' Vote by Applebaum,NA
2016-07-07T00:00:00Z,"In Soccer, Winners Are Clear; in 'Brexit,' Not So Much by Smale",NA,NA
2016-07-07T00:00:00Z,NA,NA,"Only Britain could leave the E.U., by Polyakova and Fligstein"
2016-07-07T00:00:00Z,NA,NA,NA
2016-07-07T00:00:00Z,What 'Brexit' Means for Pet Travel by Victor,NA,NA
2016-07-07T00:00:00Z,NA,NA,NA
2016-07-06T00:00:00Z,NA,NA,NA
2016-07-06T00:00:00Z,NA,NA,Class anger fuels town's pro-Brexit Defiance by Higgins
2016-07-06T00:00:00Z,Britain Is No Home to Me by Donadio,NA,NA
2016-07-06T00:00:00Z,Conservative Backbiting; Labour Civil War; Welsh Regrets? By Chan,NA,NA
2016-07-06T00:00:00Z,Teams Bracing for Impact of 'Brexit' by Belson and Trecker,NA,NA
2016-07-06T00:00:00Z,Financial Strain Grows From 'Brexit' Vote by Bray,NA,NA
2016-07-06T00:00:00Z,Four-Day Rally Skids to a Stop by AP,NA,NA
2016-07-06T00:00:00Z,NA,NA,NA
2016-07-06T00:00:00Z,"In Wales, Consequence of Leave Vote Sink in by Hakim",NA,NA
2016-07-06T00:00:00Z, Pressures Grow After 'Brexit' Vote by Tsang,NA,NA
2016-07-05T00:00:00Z,NA,NA,NA
2016-07-05T00:00:00Z,Can Germany lead Europe alone?; by Sauerbrey,NA,NA
2016-07-05T00:00:00Z,"Brexit Briefing: Conservative Mudslinging, and George Osborne Calls for Tax Cuts by Rao",NA,NA
2016-07-05T00:00:00Z,NA,NA,NA
2016-07-05T00:00:00Z,Clueless or Crazy by Brooks,NA,NA
2016-07-05T00:00:00Z,NA,NA,NA
2016-07-05T00:00:00Z,Standard Life Fund Halts Withdrawals by Panicked Investors After 'Brexit by Thomas,NA,NA
2016-07-05T00:00:00Z,"Having Succeeded, Head of Party That Pushed Britain to Leave E.U. Resigns by Castel and Erlanger",NA,NA
