shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
AFG,0.0,99.30000305175781,0.36666667461395264,0.6999969482421875,1.0,0.0,NaN,1.0,NaN,4.540098190307617,NaN
AGO,68.69999694824219,0.0,0.1366666704416275,11.500003814697266,0.0,0.0,5.363636493682861,1.0,7.7706451416015625,5.63478946685791,1.0
ARE,0.4000000059604645,94.9000015258789,0.2666666805744171,4.399998664855957,1.0,0.0,7.181818008422852,0.0,9.804219245910645,NaN,NaN
ARG,91.5999984741211,0.20000000298023224,0.3777777850627899,5.500001430511475,0.0,0.0,6.386363506317139,1.0,9.133459091186523,4.232656002044678,1.0
ARM,0.0,0.0,0.4444444477558136,100.0,0.0,0.0,NaN,0.0,7.6824822425842285,NaN,NaN
AUS,29.600000381469727,0.20000000298023224,0.30000001192092896,46.70000076293945,1.0,0.0,9.318181991577148,0.0,9.897972106933594,2.1459312438964844,1.0
AUT,88.80000305175781,0.6000000238418579,0.5244444608688354,4.099997043609619,0.0,0.0,9.727272987365723,0.0,9.97487735748291,NaN,NaN
AZE,0.0,93.4000015258789,0.44777777791023254,6.599998474121094,0.0,0.0,NaN,0.0,7.3065314292907715,NaN,NaN
BDI,78.30000305175781,0.8999999761581421,0.036666665226221085,15.899996757507324,0.0,0.0,NaN,1.0,6.56526517868042,5.63478946685791,NaN
BEL,90.0,1.100000023841858,0.5611110925674438,8.5,0.0,0.0,9.681818008422852,1.0,9.992871284484863,NaN,NaN
BEN,18.5,15.199999809265137,0.10333333909511566,63.5,0.0,1.0,NaN,1.0,7.090076923370361,5.58544921875,NaN
BFA,9.0,43.0,0.14444445073604584,46.400001525878906,0.0,1.0,4.454545497894287,1.0,6.845880031585693,5.63478946685791,1.0
BGD,0.20000000298023224,85.9000015258789,0.2666666805744171,13.69999885559082,1.0,0.0,5.136363506317139,0.0,6.877295970916748,4.26843786239624,1.0
BGR,0.5,10.600000381469727,0.47777777910232544,88.5,0.0,0.0,8.909090995788574,0.0,8.4574432373046875,NaN,NaN
BHR,0.800000011920929,95.0,0.2888889014720917,3.299999952316284,1.0,0.0,8.0,0.0,9.685953140258789,NaN,NaN
BHS,25.5,0.0,0.2683333158493042,27.300003051757812,1.0,0.0,7.5,0.0,9.28544807434082,4.442651271820068,1.0
BIH,15.0,40.0,0.4888888895511627,41.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN
BLR,14.0,0.0,0.5888888835906982,86.0,0.0,0.0,NaN,0.0,8.340456008911133,NaN,NaN
BLZ,66.80000305175781,0.0,0.19055555760860443,19.999996185302734,1.0,0.0,NaN,0.0,8.377931594848633,5.0955891609191895,NaN
BOL,92.5,0.0,0.18888889253139496,5.199999809265137,0.0,0.0,5.636363506317139,1.0,7.926602363586426,4.2626800537109375,1.0
BRA,87.80000305175781,0.10000000149011612,0.1111111119389534,8.099996566772461,0.0,0.0,7.909090995788574,1.0,8.72745418548584,4.2626800537109375,1.0
BRB,5.900000095367432,0.20000000298023224,0.1455555558204651,60.70000076293945,1.0,0.0,NaN,0.0,9.26672077178955,4.442651271820068,NaN
BTN,0.0,5.0,0.3033333122730255,95.0,1.0,0.0,NaN,0.0,NaN,NaN,NaN
BWA,9.399999618530273,0.0,0.24444444477558136,63.79999923706055,1.0,0.0,7.7272725105285645,0.0,8.855093002319336,NaN,NaN
CAF,33.099998474121094,3.200000047683716,0.07777778059244156,13.70000171661377,0.0,1.0,NaN,1.0,7.192934036254883,5.63478946685791,NaN
CAN,46.599998474121094,0.6000000238418579,0.6666666865348816,23.200000762939453,1.0,0.0,9.727272987365723,0.0,9.986449241638184,2.7788193225860596,1.0
CHE,52.79999923706055,0.30000001192092896,0.5222222208976746,3.700000047683716,0.0,0.0,10.0,0.0,10.120210647583008,NaN,NaN
CHL,82.0999984741211,0.0,0.3333333432674408,16.000001907348633,0.0,0.0,7.818181991577148,1.0,9.336091995239258,4.232656002044678,1.0
CHN,0.0,2.4000000953674316,0.3888888955116272,97.5999984741211,0.0,0.0,7.7727274894714355,0.0,7.886081218719482,4.770684719085693,NaN
CIV,18.5,24.0,0.08888889104127884,52.79999923706055,0.0,1.0,7.0,1.0,7.444248676300049,6.504288196563721,1.0
CMR,35.0,22.0,0.06666667014360428,24.899999618530273,0.0,0.0,6.454545497894287,1.0,7.501081943511963,5.63478946685791,1.0
COG,53.900001525878906,0.4000000059604645,0.011111111380159855,20.799999237060547,0.0,1.0,4.681818008422852,1.0,7.420578956604004,5.4806389808654785,1.0
COL,96.5999984741211,0.20000000298023224,0.04444444552063942,2.300001621246338,0.0,0.0,7.318181991577148,1.0,8.809863090515137,4.2626800537109375,1.0
COM,0.10000000149011612,99.69999694824219,0.1344444453716278,0.10000304877758026,0.0,1.0,NaN,1.0,7.383989334106445,NaN,NaN
CPV,95.9000015258789,0.0,0.17777778208255768,1.0999984741210938,0.0,0.0,NaN,1.0,7.979339122772217,NaN,NaN
CRI,90.5,0.0,0.1111111119389534,3.6999998092651367,0.0,0.0,7.045454502105713,1.0,8.794824600219727,4.357990264892578,1.0
CZE,39.20000076293945,0.0,0.5494444370269775,56.20000076293945,0.0,0.0,8.863636016845703,0.0,9.20432186126709,NaN,NaN
DEU,35.0,0.019999999552965164,0.5666666626930237,18.579998016357422,0.0,0.0,NaN,0.0,9.9354705810546875,NaN,NaN
DJI,6.699999809265137,90.5999984741211,0.12555555999279022,2.5000016689300537,0.0,1.0,NaN,1.0,NaN,3.25809645652771,NaN
DNK,0.6000000238418579,0.20000000298023224,0.6222222447395325,4.000002861022949,0.0,0.0,9.727272987365723,0.0,10.005592346191406,NaN,NaN
DOM,96.5999984741211,0.0,0.21111111342906952,2.0000014305114746,0.0,1.0,6.181818008422852,1.0,8.364042282104492,4.867534637451172,1.0
DZA,0.5,99.0999984741211,0.31111112236976624,0.40000152587890625,0.0,1.0,6.5,1.0,8.389359474182129,4.359269618988037,1.0
ECU,96.4000015258789,0.0,0.02222222276031971,1.6999984979629517,0.0,0.0,6.545454502105713,1.0,8.470101356506348,4.2626800537109375,1.0
EGY,0.20000000298023224,81.80000305175781,0.30000001192092896,17.799997329711914,1.0,0.0,6.7727274894714355,1.0,7.951559543609619,4.216562271118164,1.0
ERI,0.0,33.0,0.1666666716337204,NaN,0.0,0.0,NaN,1.0,6.620073318481445,NaN,NaN
ESP,96.9000015258789,0.0,0.4444444477558136,2.9999985694885254,0.0,0.0,9.681818008422852,1.0,9.618468284606934,NaN,NaN
EST,2.0,0.009999999776482582,0.6555555462837219,31.989999771118164,0.0,0.0,NaN,0.0,8.393895149230957,NaN,NaN
ETH,0.699999988079071,31.399999618530273,0.08888889104127884,64.0999984741211,0.0,0.0,5.7272725105285645,1.0,6.10924768447876,3.25809645652771,1.0
FIN,0.10000000149011612,0.0,0.7111111283302307,6.800001621246338,0.0,0.0,9.727272987365723,0.0,9.826066017150879,NaN,NaN
FJI,9.0,7.800000190734863,0.20000000298023224,44.10000228881836,1.0,0.0,NaN,0.0,8.301521301269531,2.4336133003234863,NaN
FRA,76.4000015258789,3.0,0.5111111402511597,18.19999885559082,0.0,0.0,9.727272987365723,1.0,9.963641166687012,1.0577902793884277,NaN
GAB,65.19999694824219,0.800000011920929,0.011111111380159855,15.200003623962402,0.0,1.0,7.818181991577148,1.0,8.9078826904296875,5.63478946685791,1.0
GBR,13.100000381469727,1.399999976158142,0.6000000238418579,69.4000015258789,0.0,0.0,9.772727012634277,0.0,9.878170013427734,0.9360933303833008,NaN
GEO,1.0,11.0,0.46666666865348816,88.0,0.0,0.0,NaN,0.0,7.371489524841309,NaN,NaN
GHA,18.700000762939453,15.699999809265137,0.08888889104127884,39.79999923706055,1.0,0.0,6.2727274894714355,0.0,7.365180015563965,6.504288196563721,1.0
GIN,1.100000023841858,69.0,0.12222222238779068,29.799999237060547,0.0,1.0,6.545454502105713,1.0,7.489970684051514,6.18001651763916,1.0
GMB,1.899999976158142,84.80000305175781,0.14755555987358093,12.899996757507324,1.0,0.0,8.272727012634277,0.0,7.272398471832275,7.293017864227295,1.0
GNB,10.199999809265137,38.29999923706055,0.13333334028720856,50.900001525878906,0.0,0.0,4.545454502105713,1.0,NaN,5.103882789611816,NaN
GRC,0.4000000059604645,1.5,0.4333333373069763,98.0,0.0,0.0,7.818181991577148,1.0,9.397649765014648,NaN,NaN
GTM,94.0,0.0,0.17000000178813934,1.0999999046325684,0.0,0.0,5.136363506317139,1.0,8.294049263000488,4.2626800537109375,1.0
GUY,18.0,9.0,0.0555555559694767,55.0,1.0,0.0,5.886363506317139,0.0,7.9047040939331055,3.4713451862335205,1.0
HKG,7.900000095367432,0.5,0.24611110985279083,84.0999984741211,1.0,0.0,8.136363983154297,0.0,10.049750328063965,2.7013611793518066,1.0
HND,95.80000305175781,0.10000000149011612,0.1666666716337204,1.4999970197677612,0.0,0.0,5.318181991577148,1.0,7.687080383300781,4.357990264892578,1.0
