name,herf,lenper,hsdrop_w,hsgrad_w,somecoll_w,collgrad_w,hsdrop_b,hsgrad_b,somecoll_b,collgrad_b,povrate_w,povrate_b,mt1proom_w,mt1proom_b,medgrent_w,medgrent_b,medgrentpinc_w,medgrentpinc_b,area1910,passpc,ngov62,manshr,incseg,closeness,regdum1,regdum2,regdum3,regdum4,ethseg10,ethiso10,ethexp10,count1910,black1910,ctyliterate1920,lfp1920,ctytrade_wkrs1920,ctymanuf_wkrs1920,ctyrail_wkrs1920,count1920,black1920,gini_w,gini_b,p10_w,p50_w,p90_w,p10_b,p50_b,p90_b,grsrnt_w,grsrnt_b,lngini_w,lngini_b,herfscore,ln90w90b,ln10w10b,ln90w10b,ln90b10w,mv_st_winus_w,mv_st_winus_b,lfp_w,lfp_b,dism1990,pop1990,pctbk1990
akronoh,0.8320522308349609,0.0011756259482353926,0.12889312207698822,0.3366086781024933,0.26912885904312134,0.26536932587623596,0.24662698805332184,0.35369542241096497,0.29337796568870544,0.10629960149526596,0.06849604099988937,0.27285531163215637,0.008861912414431572,0.03117973357439041,568.0,475.0,24.200000762939453,28.299999237060547,7380.7998046875,NaN,60.0,0.23104150593280792,0.2515834867954254,-107.5199966430664,0.0,1.0,0.0,0.0,0.0935596451163292,0.00784479733556509,0.03900494799017906,1018.0,0.020673858001828194,0.9676838517189026,0.35480713844299316,0.01305471733212471,0.6783283352851868,0.0,2804.0,0.022822676226496696,0.40643420815467834,0.48604312539100647,7805.0,30166.0,69898.0,3240.0,16800.0,51e3,416.39959716796875,334.03948974609375,-0.9003332257270813,-0.7214578986167908,0.6679718753212305,0.3152114152908325,0.8791912198066711,3.0714638233184814,1.877061128616333,0.04933450371026993,0.042510371655225754,0.6626272201538086,0.6221049427986145,0.6927282810211182,657575.0,0.0984465628862381
albanyny,0.6676356196403503,4.711351648438722e-4,0.1349402666091919,0.30675941705703735,0.27434465289115906,0.2839556634426117,0.27394044399261475,0.28539910912513733,0.28586170077323914,0.15479876101016998,0.07506024837493896,0.3028392493724823,0.009806010872125626,0.04735550656914711,591.0,546.0,24.5,30.700000762939453,6913.7001953125,122.00189971923828,117.0,0.12289129942655563,0.22334249317646027,-231.3800048828125,1.0,0.0,0.0,0.0,0.6107061505317688,0.16124355792999268,0.11238239705562592,1922.0,0.011960046365857124,0.9586007595062256,0.3979884684085846,0.017458945512771606,0.5989052057266235,0.0,1699.0,0.002945448039099574,0.39447101950645447,0.4616990089416504,8914.0,33300.0,76e3,3700.0,2e4,54276.0,475.7489929199219,451.09588623046875,-0.9302095770835876,-0.7728421092033386,0.4964302100334934,0.3366512060165405,0.8792902827262878,3.0224006175994873,1.8064590692520142,0.04520852491259575,0.06091854348778725,0.6589661836624146,0.6326648592948914,0.6196199655532837,874304.0,0.04727303236722946
altoonpa,0.7264987230300903,8.039635722525418e-4,0.16144169867038727,0.5015738606452942,0.19919060170650482,0.1377938687801361,0.21228304505348206,0.4859813153743744,0.20293724536895752,0.09879839420318604,0.12236442416906357,0.38859179615974426,0.010943776927888393,0.06768558919429779,411.0,396.0,25.700000762939453,29.399999618530273,NaN,NaN,NaN,0.18585290014743805,NaN,-80.5999984741211,1.0,0.0,0.0,0.0,0.45140910148620605,0.029748689383268356,0.04810073971748352,1029.0,0.02528076246380806,0.9689280390739441,0.45342928171157837,0.1479024887084961,0.4868636429309845,0.0,1340.0,0.012658976949751377,0.4092881977558136,0.36007916927337646,6e3,22600.0,52400.0,6084.0,22900.0,41963.0,310.3854064941406,310.51190185546875,-0.89333575963974,-1.02143132686615,0.6389532116146908,0.2221183180809021,-0.013902905397117138,2.1532442569732666,1.9450287818908691,0.033301129937171936,0.04806866869330406,0.5957730412483215,0.6279792785644531,0.5216737985610962,130542.0,0.008234897628426552
anaheica,0.6713041663169861,3.720649110618979e-4,0.13965357840061188,0.18041539192199707,0.34614869952201843,0.3337823450565338,0.11926060914993286,0.17972606420516968,0.42526260018348694,0.2757507264614105,0.07455619424581528,0.11544280499219894,0.08144525438547134,0.14920614659786224,965.0,899.0,26.899999618530273,28.100000381469727,NaN,NaN,23.0,0.19611020386219025,0.20816150307655334,-680.75,0.0,0.0,0.0,1.0,NaN,NaN,NaN,323.0,0.08362380415201187,0.9700693488121033,0.5022091269493103,0.09097608923912048,0.2645758390426636,0.008270553313195705,679.0,0.0,0.36738577485084534,0.2945760488510132,15512.0,5e4,104e3,22800.0,45e3,85700.0,914.078125,897.67437744140625,-1.0013427734375,-1.2222180366516113,0.3776567376734281,0.19353806972503662,-0.3851466178894043,1.5176303386688232,1.709238886833191,0.0500030517578125,0.06825435906648636,0.6655824780464172,0.7229682207107544,0.34508615732192993,2410556.0,0.017270704731345177
annarbmi,0.7989099621772766,4.835152067244053e-4,0.07514235377311707,0.17161597311496735,0.2623448669910431,0.4908968210220337,0.15937195718288422,0.23620952665805817,0.354777455329895,0.2496410608291626,0.08774951100349426,0.1903083175420761,0.01749897561967373,0.06688611954450607,702.0,597.0,26.299999237060547,27.299999237060547,NaN,NaN,27.0,0.24344860017299652,0.2400633990764618,-247.3000030517578,0.0,1.0,0.0,0.0,NaN,NaN,NaN,436.0,0.02755085751414299,0.9805212020874023,0.4903360605239868,0.0,0.22771160304546356,0.0,479.0,0.02291765809059143,0.4010639786720276,0.4951275885105133,10884.0,38522.0,89100.0,5e3,21400.0,73515.0,588.5487060546875,492.76300048828125,-0.9136343002319336,-0.7029398083686829,0.6668008388185298,0.19226986169815063,0.7778559327125549,2.880321502685547,1.9101955890655518,0.11502250283956528,0.07842157781124115,0.7040266990661621,0.6507877111434937,0.4992336928844452,282937.0,0.11121910810470581
atlantnj,0.6642677783966064,0.013210171833634377,0.17683909833431244,0.36356836557388306,0.2556562125682831,0.20393633842468262,0.27563780546188354,0.3426115810871124,0.2734311521053314,0.10831946134567261,0.07192523032426834,0.2032090574502945,0.023158716037869453,0.07729867100715637,714.0,594.0,26.600000381469727,27.700000762939453,2760.0,NaN,39.0,0.06396140158176422,0.16492809355258942,-71.01000213623047,1.0,0.0,0.0,0.0,NaN,NaN,NaN,715.0,0.13435626029968262,0.9486087560653687,0.38870859146118164,0.03177599608898163,0.5395627021789551,0.0,825.0,0.12947168946266174,0.39584892988204956,0.45193541049957275,9203.0,35630.0,76340.0,4791.0,24e3,60500.0,605.22027587890625,470.00048828125,-0.9267226457595825,-0.794215977191925,0.8748101262909931,0.23255367577075958,0.652790367603302,2.7684578895568848,1.8831138610839844,0.05715341120958328,0.048385508358478546,0.6455665230751038,0.626573383808136,0.6320750713348389,319416.0,0.1385779082775116
aurorail,0.8871862888336182,0.0014487513108178973,0.14753922820091248,0.25580158829689026,0.2899019718170166,0.30675721168518066,0.24901583790779114,0.2939944863319397,0.304715633392334,0.15227405726909637,0.04664110392332077,0.2320602983236313,0.03873547911643982,0.08284924179315567,704.0,642.0,24.200000762939453,26.700000762939453,NaN,NaN,51.0,0.19893530011177063,0.22987450659275055,-285.9200134277344,0.0,1.0,0.0,0.0,NaN,NaN,NaN,890.0,0.0011202598689123988,0.9826430678367615,0.4496973752975464,0.0,0.4119104743003845,0.0,1050.0,0.015241600573062897,0.3769160509109497,0.43793046474456787,11841.0,38e3,80080.0,4102.0,24500.0,60515.0,530.825927734375,471.87548828125,-0.9757328033447266,-0.8256951570510864,0.6490782534596696,0.2801348567008972,1.0600934028625488,2.9715514183044434,1.631323218345642,0.059562139213085175,0.06521427631378174,0.7069478631019592,0.6489971280097961,0.5119155049324036,356884.0,0.053501978516578674
battlemi,0.709021806716919,7.416346343234181e-4,0.15685845911502838,0.3587579131126404,0.3182724714279175,0.16611115634441376,0.24433451890945435,0.34752100706100464,0.31082481145858765,0.09731968492269516,0.09270208328962326,0.2435266375541687,0.017114702612161636,0.05773305147886276,492.0,460.0,23.200000762939453,27.700000762939453,NaN,NaN,28.0,0.26463809609413147,0.21897299587726593,-266.7900085449219,0.0,1.0,0.0,0.0,NaN,NaN,NaN,590.0,0.01015700213611126,0.996697187423706,0.41370245814323425,0.0,0.6184815168380737,0.0,707.0,0.018387453630566597,0.39683210849761963,0.4989742338657379,6732.0,29031.0,64278.0,2400.0,16099.0,52296.0,385.27349853515625,353.28729248046875,-0.9242419600486755,-0.6952008008956909,0.7495502851403381,0.20629754662513733,1.0314035415649414,3.2877485752105713,2.0500476360321045,0.05379682779312134,0.05687445402145386,0.6327457427978516,0.5841508507728577,0.6348613500595093,135982.0,0.10372696071863174
beaverpa,0.7244638204574585,7.172551122494042e-4,0.15787358582019806,0.42736709117889404,0.25285056233406067,0.16190874576568604,0.2665379047393799,0.3927249312400818,0.26959601044654846,0.07114115357398987,0.07854524999856949,0.3028940260410309,0.008512518368661404,0.044088177382946014,443.0,397.0,22.700000762939453,25.299999237060547,NaN,NaN,53.0,0.1457580029964447,0.18443180620670319,-72.37000274658203,1.0,0.0,0.0,0.0,NaN,NaN,NaN,720.0,0.012506232596933842,0.9223473072052002,0.4069676995277405,0.033165499567985535,0.6519811749458313,0.0,1184.0,0.012678567320108414,0.401694655418396,0.4832474887371063,6408.0,23881.0,55250.0,2730.0,11e3,37695.0,329.42718505859375,292.1693115234375,-0.9120630621910095,-0.7272263765335083,0.37552167915949997,0.3823408782482147,0.8532456159591675,3.0075666904449463,1.7719802856445312,0.03565944731235504,0.0401989221572876,0.6038764119148254,0.5499466061592102,0.6208468079566956,186093.0,0.055617351084947586
bentonmi,0.8306090235710144,8.358221966773272e-4,0.15530480444431305,0.3263225853443146,0.3132914900779724,0.20508112013339996,0.3272891342639923,0.3002031445503235,0.2632608413696289,0.10924685746431351,0.07857294380664825,0.3550040125846863,0.017153145745396614,0.09218820184469223,489.0,451.0,22.600000381469727,31.100000381469727,NaN,NaN,39.0,0.278562992811203,0.17174120247364044,-240.1300048828125,0.0,1.0,0.0,0.0,NaN,NaN,NaN,530.0,0.00940839946269989,0.9766343235969543,0.43833762407302856,0.0,0.2820729911327362,0.0,664.0,0.016580604016780853,0.39182248711586,0.515746533870697,8500.0,28790.0,62e3,3e3,11658.0,45935.0,385.8319091796875,369.8247985839844,-0.9369463920593262,-0.6621398329734802,0.6274962860906412,0.29990702867507935,1.0414538383483887,3.02852201461792,1.6871612071990967,0.09608878940343857,0.08273937553167343,0.6553138494491577,0.5918153524398804,0.7413877844810486,161378.0,0.1538933366537094
